locus tag	organism	symbol	Gene ID	PFAM
SAOUHSC_00663	S. aureus NCTC8325	SAOUHSC_00663	3919953	Acetyltransf_4
S251	S. aureus NCTC8325	S251		
SAOUHSC_00664	S. aureus NCTC8325	SAOUHSC_00664	3919954	NAD_binding_10
SAOUHSC_00665	S. aureus NCTC8325	SAOUHSC_00665	3919955	Trans_reg_C
SAOUHSC_00666	S. aureus NCTC8325	SAOUHSC_00666	3919429	HATPase_c
S252	S. aureus NCTC8325	S252		
SAOUHSC_00667	S. aureus NCTC8325	SAOUHSC_00667	3919430	ABC_tran
SAOUHSC_00668	S. aureus NCTC8325	SAOUHSC_00668	3919431	FtsX
S253	S. aureus NCTC8325	S253		
SAOUHSC_00669	S. aureus NCTC8325	SAOUHSC_00669	3919432	PhoU_div
SAOUHSC_00670	S. aureus NCTC8325	SAOUHSC_00670	3919433	PHO4
S254	S. aureus NCTC8325	S254		
SAOUHSC_00671	S. aureus NCTC8325	SAOUHSC_00671	3919434	LysM
S255	S. aureus NCTC8325	S255		
S256	S. aureus NCTC8325	S256		
SAOUHSC_00672	S. aureus NCTC8325	SAOUHSC_00672	3919435	Bax1-I
S257	S. aureus NCTC8325	S257		
SAOUHSC_00673	S. aureus NCTC8325	SAOUHSC_00673	3919436	HTH_AraC
S258	S. aureus NCTC8325	S258		
SAOUHSC_00674	S. aureus NCTC8325	SAOUHSC_00674	3919437	RNA_pol_Rpc34
SAOUHSC_00675	S. aureus NCTC8325	SAOUHSC_00675	3919438	Transcrip_reg
SAOUHSC_00676	S. aureus NCTC8325	SAOUHSC_00676	3919439	Cupin_5
SAOUHSC_00677	S. aureus NCTC8325	SAOUHSC_00677	3919440	
S259	S. aureus NCTC8325	S259		
SAOUHSC_00678	S. aureus NCTC8325	SAOUHSC_00678	3919441	DUF402
S260	S. aureus NCTC8325	S260		
SAOUHSC_00679	S. aureus NCTC8325	SAOUHSC_00679	3919442	LysR_substrate
SAOUHSC_00680	S. aureus NCTC8325	SAOUHSC_00680	3919443	
SAOUHSC_00681	S. aureus NCTC8325	SAOUHSC_00681	3919444	MFS_1
SAOUHSC_00682	S. aureus NCTC8325	SAOUHSC_00682	3919445	DUF456
SAOUHSC_00683	S. aureus NCTC8325	SAOUHSC_00683	3919446	DUF1129
S261	S. aureus NCTC8325	S261		
SAOUHSC_00684	S. aureus NCTC8325	SAOUHSC_00684	3919447	Acetyltransf_1
SAOUHSC_00685	S. aureus NCTC8325	SAOUHSC_00685	3920989	TolA_bind_tri
S262	S. aureus NCTC8325	S262		
SAOUHSC_00686	S. aureus NCTC8325	SAOUHSC_00686	3920990	
S263	S. aureus NCTC8325	S263		
SAOUHSC_00687	S. aureus NCTC8325	SAOUHSC_00687	3920991	Acetyltransf_3
SAOUHSC_00688	S. aureus NCTC8325	SAOUHSC_00688	3920992	Lysine_decarbox
SAOUHSC_00689	S. aureus NCTC8325	SAOUHSC_00689	3920993	DUF188
SAOUHSC_00690	S. aureus NCTC8325	SAOUHSC_00690	3920994	
SAOUHSC_00691	S. aureus NCTC8325	SAOUHSC_00691	3920995	BacA
SAOUHSC_00692	S. aureus NCTC8325	SAOUHSC_00692	3920996	ABC_tran
SAOUHSC_00693	S. aureus NCTC8325	SAOUHSC_00693	3920997	ABC_tran
S264	S. aureus NCTC8325	S264		
S265	S. aureus NCTC8325	S265		
SAOUHSC_00694	S. aureus NCTC8325	SAOUHSC_00694	3920998	MarR
S266	S. aureus NCTC8325	S266		
SAOUHSC_00695	S. aureus NCTC8325	SAOUHSC_00695	3920999	cobW
S267	S. aureus NCTC8325	S267		
SAOUHSC_00696	S. aureus NCTC8325	SAOUHSC_00696	3921000	Aldo_ket_red
SAOUHSC_00697	S. aureus NCTC8325	SAOUHSC_00697	3921001	PIG-F
SAOUHSC_00698	S. aureus NCTC8325	SAOUHSC_00698	3921002	Na_sulph_symp
S268	S. aureus NCTC8325	S268		
SAOUHSC_00699	S. aureus NCTC8325	SAOUHSC_00699	3921003	FAD_binding_7
S269	S. aureus NCTC8325	S269		
SAOUHSC_00700	S. aureus NCTC8325	SAOUHSC_00700	3921004	TcpE
SAOUHSC_00701	S. aureus NCTC8325	SAOUHSC_00701	3921005	DUF1361
S270	S. aureus NCTC8325	S270		
SAOUHSC_00702	S. aureus NCTC8325	SAOUHSC_00702	3921006	DUF296
S271	S. aureus NCTC8325	S271		
SAOUHSC_00703	S. aureus NCTC8325	SAOUHSC_00703	3921007	MFS_1
S272	S. aureus NCTC8325	S272		
SAOUHSC_00704	S. aureus NCTC8325	SAOUHSC_00704	3921008	SYCE1
SAOUHSC_00705	S. aureus NCTC8325	SAOUHSC_00705	3919332	tRNA_edit
SAOUHSC_00706	S. aureus NCTC8325	SAOUHSC_00706	3919333	DeoRC
SAOUHSC_00707	S. aureus NCTC8325	SAOUHSC_00707	3919334	PfkB
SAOUHSC_00708	S. aureus NCTC8325	SAOUHSC_00708	3919335	PTS_EIIA_2
S273	S. aureus NCTC8325	S273		
SAOUHSC_00709	S. aureus NCTC8325	SAOUHSC_00709	3919336	
SAOUHSC_00710	S. aureus NCTC8325	SAOUHSC_00710	3919337	Amidohydro_1
S274	S. aureus NCTC8325	S274		
S275	S. aureus NCTC8325	S275		
SAOUHSC_00711	S. aureus NCTC8325	SAOUHSC_00711	3919338	DUF21
SAOUHSC_00712	S. aureus NCTC8325	SAOUHSC_00712	3919339	Aldo_ket_red
S276	S. aureus NCTC8325	S276		
SAOUHSC_00713	S. aureus NCTC8325	SAOUHSC_00713	3919340	Glycos_transf_2
SAOUHSC_00714	S. aureus NCTC8325	SAOUHSC_00714	3919341	HATPase_c
SAOUHSC_00715	S. aureus NCTC8325	SAOUHSC_00715	3919342	Response_reg
SAOUHSC_00716	S. aureus NCTC8325	SAOUHSC_00716	3919343	DoxX
S277	S. aureus NCTC8325	S277		
S278	S. aureus NCTC8325	S278		
SAOUHSC_00717	S. aureus NCTC8325	SAOUHSC_00717	3919344	DM13
SAOUHSC_00718	S. aureus NCTC8325	SAOUHSC_00718	3919345	
SAOUHSC_00719	S. aureus NCTC8325	SAOUHSC_00719	3919346	Radical_SAM
SAOUHSC_00720	S. aureus NCTC8325	SAOUHSC_00720	3919347	PTPS
SAOUHSC_00721	S. aureus NCTC8325	SAOUHSC_00721	3919348	QueC
S279	S. aureus NCTC8325	S279		
SAOUHSC_00722	S. aureus NCTC8325	SAOUHSC_00722	3919349	GATase
SAOUHSC_00723	S. aureus NCTC8325	SAOUHSC_00723	3919350	Chorismate_bind
SAOUHSC_00724	S. aureus NCTC8325	SAOUHSC_00724	3920969	Aminotran_4
SAOUHSC_00725	S. aureus NCTC8325	SAOUHSC_00725	3920970	7tm_3
S280	S. aureus NCTC8325	S280		
SAOUHSC_00726	S. aureus NCTC8325	SAOUHSC_00726	3920971	CT_C_D
SAOUHSC_00727	S. aureus NCTC8325	SAOUHSC_00727	3920972	CT_A_B
S281	S. aureus NCTC8325	S281		
S282	S. aureus NCTC8325	S282		
SAOUHSC_00728	S. aureus NCTC8325	SAOUHSC_00728	3920973	Sulfatase
SAOUHSC_A00703	S. aureus NCTC8325	SAOUHSC_A00703	3921681	
SAOUHSC_00729	S. aureus NCTC8325	SAOUHSC_00729	3920974	ABC_tran
SAOUHSC_00730	S. aureus NCTC8325	SAOUHSC_00730	3920975	Helicase_C
SAOUHSC_00731	S. aureus NCTC8325	SAOUHSC_00731	3920976	ABC_tran
SAOUHSC_00732	S. aureus NCTC8325	SAOUHSC_00732	3920977	OpuAC
SAOUHSC_00733	S. aureus NCTC8325	SAOUHSC_00733	3920978	Aminotran_1_2
S283	S. aureus NCTC8325	S283		
SAOUHSC_00734	S. aureus NCTC8325	SAOUHSC_00734	3920979	NT5C
S284	S. aureus NCTC8325	S284		
SAOUHSC_00735	S. aureus NCTC8325	SAOUHSC_00735	3920980	
S285	S. aureus NCTC8325	S285		
S286	S. aureus NCTC8325	S286		
S287	S. aureus NCTC8325	S287		
SAOUHSC_00736	S. aureus NCTC8325	SAOUHSC_00736	3920981	DAGK_cat
SAOUHSC_00737	S. aureus NCTC8325	SAOUHSC_00737	3920982	ATP_synth_reg
SAOUHSC_00738	S. aureus NCTC8325	SAOUHSC_00738	3920983	PTR2
S288	S. aureus NCTC8325	S288		
SAOUHSC_00739	S. aureus NCTC8325	SAOUHSC_00739	3920984	QueF
SAOUHSC_00740	S. aureus NCTC8325	SAOUHSC_00740	3920985	EamA
S289	S. aureus NCTC8325	S289		
S290	S. aureus NCTC8325	S290		
S291	S. aureus NCTC8325	S291		
S292	S. aureus NCTC8325	S292		
SAOUHSC_00741	S. aureus NCTC8325	nrdI	3920986	Flavodoxin_NdrI
SAOUHSC_00742	S. aureus NCTC8325	SAOUHSC_00742	3920987	Ribonuc_red_lgC
S293	S. aureus NCTC8325	S293		
SAOUHSC_00743	S. aureus NCTC8325	nrdF	3920988	Ribonuc_red_sm
SAOUHSC_00744	S. aureus NCTC8325	SAOUHSC_00744	3919506	
SAOUHSC_00745	S. aureus NCTC8325	SAOUHSC_00745	3919507	
SAOUHSC_00746	S. aureus NCTC8325	SAOUHSC_00746	3919508	FecCD
SAOUHSC_00747	S. aureus NCTC8325	SAOUHSC_00747	3919509	FecCD
SAOUHSC_00748	S. aureus NCTC8325	SAOUHSC_00748	3919510	ABC_tran
S294	S. aureus NCTC8325	S294		
SAOUHSC_00749	S. aureus NCTC8325	SAOUHSC_00749	3919511	Peripla_BP_2
S295	S. aureus NCTC8325	S295		
SAOUHSC_00751	S. aureus NCTC8325	SAOUHSC_00751	3919512	zf-CHY
SAOUHSC_00752	S. aureus NCTC8325	murB	3919513	MurB_C
S296	S. aureus NCTC8325	S296		
SAOUHSC_00753	S. aureus NCTC8325	SAOUHSC_00753	3919514	GrpB
SAOUHSC_00754	S. aureus NCTC8325	SAOUHSC_00754	3919515	IncA
S297	S. aureus NCTC8325	S297		
SAOUHSC_00755	S. aureus NCTC8325	SAOUHSC_00755	3919516	DUF2847
S298	S. aureus NCTC8325	S298		
S299	S. aureus NCTC8325	S299		
SAOUHSC_00756	S. aureus NCTC8325	SAOUHSC_00756	3919517	Gly_kinase
S300	S. aureus NCTC8325	S300		
SAOUHSC_00757	S. aureus NCTC8325	SAOUHSC_00757	3919518	Peptidase_M20
SAOUHSC_00758	S. aureus NCTC8325	SAOUHSC_00758	3919519	ThrE_2
SAOUHSC_00759	S. aureus NCTC8325	SAOUHSC_00759	3919520	ThrE
SAOUHSC_00760	S. aureus NCTC8325	SAOUHSC_00760	3919521	GGDEF
S301	S. aureus NCTC8325	S301		
SAOUHSC_00762	S. aureus NCTC8325	SAOUHSC_00762	3919522	Glycos_transf_4
SAOUHSC_00763	S. aureus NCTC8325	SAOUHSC_00763	3919523	UPF0029
SAOUHSC_00764	S. aureus NCTC8325	SAOUHSC_00764	3919524	DegV
SAOUHSC_00765	S. aureus NCTC8325	SAOUHSC_00765	3919057	Helicase_C
SAOUHSC_00766	S. aureus NCTC8325	SAOUHSC_00766	3919058	Pribosyltran
SAOUHSC_00767	S. aureus NCTC8325	SAOUHSC_00767	3919059	Ribosom_S30AE_C
S302	S. aureus NCTC8325	S302		
S303	S. aureus NCTC8325	S303		
SAOUHSC_00769	S. aureus NCTC8325	secA	3919060	SecA_DEAD
SAOUHSC_00770	S. aureus NCTC8325	SAOUHSC_00770	3919061	
S304	S. aureus NCTC8325	S304		
SAOUHSC_00771	S. aureus NCTC8325	SAOUHSC_00771	3919062	PCRF
SAOUHSC_00772	S. aureus NCTC8325	SAOUHSC_00772	3919063	
SAOUHSC_00773	S. aureus NCTC8325	SAOUHSC_00773	3919064	CHAP
SAOUHSC_00774	S. aureus NCTC8325	SAOUHSC_00774	3919065	HD_2
SAOUHSC_00775	S. aureus NCTC8325	SAOUHSC_00775	3919066	DUF2198
S305	S. aureus NCTC8325	S305		
S306	S. aureus NCTC8325	S306		
SAOUHSC_00776	S. aureus NCTC8325	SAOUHSC_00776	3919067	ResIII
S307	S. aureus NCTC8325	S307		
SAOUHSC_00778	S. aureus NCTC8325	SAOUHSC_00778	3919068	DDE_Tnp_1
S308	S. aureus NCTC8325	S308		
SAOUHSC_A00747	S. aureus NCTC8325	SAOUHSC_A00747	3921682	
SAOUHSC_00779	S. aureus NCTC8325	SAOUHSC_00779	3919069	UvrB
SAOUHSC_00780	S. aureus NCTC8325	uvrA	3919070	ABC_tran
SAOUHSC_00781	S. aureus NCTC8325	SAOUHSC_00781	3919071	Hpr_kinase_C
SAOUHSC_00782	S. aureus NCTC8325	SAOUHSC_00782	3919072	LGT
SAOUHSC_00783	S. aureus NCTC8325	SAOUHSC_00783	3919073	Hexapep_2
SAOUHSC_00784	S. aureus NCTC8325	SAOUHSC_00784	3919074	TPR_19
SAOUHSC_00785	S. aureus NCTC8325	SAOUHSC_00785	3919075	Pyr_redox_2
S309	S. aureus NCTC8325	S309		
SAOUHSC_00786	S. aureus NCTC8325	SAOUHSC_00786	3919076	
S310	S. aureus NCTC8325	S310		
SAOUHSC_00787	S. aureus NCTC8325	SAOUHSC_00787	3919351	ATP_bind_2
SAOUHSC_00788	S. aureus NCTC8325	SAOUHSC_00788	3919352	UPF0052
S311	S. aureus NCTC8325	S311		
SAOUHSC_00789	S. aureus NCTC8325	SAOUHSC_00789	3919353	LAGLIDADG_WhiA
S312	S. aureus NCTC8325	S312		
SAOUHSC_T0005	S. aureus NCTC8325	SAOUHSC_T0005	3921324	
S313	S. aureus NCTC8325	S313		
SAOUHSC_00790	S. aureus NCTC8325	clpP	3919354	CLP_protease
S314	S. aureus NCTC8325	S314		
S315	S. aureus NCTC8325	S315		
SAOUHSC_00792	S. aureus NCTC8325	SAOUHSC_00792	3919355	Epimerase
S316	S. aureus NCTC8325	S316		
S317	S. aureus NCTC8325	RsaH		
S318	S. aureus NCTC8325	S318		
S319	S. aureus NCTC8325	S319		
SAOUHSC_00793	S. aureus NCTC8325	SAOUHSC_00793	3919356	DUF4887
S320	S. aureus NCTC8325	S320		
S321	S. aureus NCTC8325	S321		
S322	S. aureus NCTC8325	S322		
SAOUHSC_00794	S. aureus NCTC8325	SAOUHSC_00794	3919357	Sugar-bind
SAOUHSC_00795	S. aureus NCTC8325	SAOUHSC_00795	3919358	Gp_dh_C
S323	S. aureus NCTC8325	S323		
SAOUHSC_00796	S. aureus NCTC8325	pgk	3919359	PGK
S324	S. aureus NCTC8325	S324		
SAOUHSC_00797	S. aureus NCTC8325	tpiA	3919360	TIM
SAOUHSC_00798	S. aureus NCTC8325	SAOUHSC_00798	3919361	iPGM_N
S325	S. aureus NCTC8325	S325		
SAOUHSC_00799	S. aureus NCTC8325	eno	3919362	Enolase_C
S326	S. aureus NCTC8325	S326		
S327	S. aureus NCTC8325	S327		
SAOUHSC_00800	S. aureus NCTC8325	SAOUHSC_00800	3919363	DUF4064
SAOUHSC_00801	S. aureus NCTC8325	secG	3919364	SecG
S328	S. aureus NCTC8325	S328		
SAOUHSC_00802	S. aureus NCTC8325	SAOUHSC_00802	3919365	Hydrolase_4
SAOUHSC_00803	S. aureus NCTC8325	SAOUHSC_00803	3919366	RNB
SAOUHSC_00804	S. aureus NCTC8325	smpB	3919367	SmpB
S329	S. aureus NCTC8325	tmRNA		
SAOUHSC_00805	S. aureus NCTC8325	SAOUHSC_00805	3919368	DUF4760
SAOUHSC_00806	S. aureus NCTC8325	SAOUHSC_00806	3919369	
SAOUHSC_00807	S. aureus NCTC8325	SAOUHSC_00807	3919370	
S330	S. aureus NCTC8325	S330		
SAOUHSC_00808	S. aureus NCTC8325	SAOUHSC_00808	3919371	DUF5067
S331	S. aureus NCTC8325	S331		
SAOUHSC_00809	S. aureus NCTC8325	SAOUHSC_00809	3919372	
SAOUHSC_00810	S. aureus NCTC8325	SAOUHSC_00810	3919373	CARDB
S332	S. aureus NCTC8325	S332		
SAOUHSC_00811	S. aureus NCTC8325	SAOUHSC_00811	3919374	Acetyltransf_1
S333	S. aureus NCTC8325	S333		
SAOUHSC_00812	S. aureus NCTC8325	SAOUHSC_00812	3919375	SdrG_C_C
SAOUHSC_00813	S. aureus NCTC8325	SAOUHSC_00813	3919376	
SAOUHSC_00814	S. aureus NCTC8325	SAOUHSC_00814	3919377	Coagulase
S334	S. aureus NCTC8325	S334		
SAOUHSC_00816	S. aureus NCTC8325	SAOUHSC_00816	3919378	Paramyxo_PCT
S335	S. aureus NCTC8325	S335		
SAOUHSC_00817	S. aureus NCTC8325	SAOUHSC_00817	3919379	efb-c
S336	S. aureus NCTC8325	S336		
SAOUHSC_00818	S. aureus NCTC8325	SAOUHSC_00818	3919380	SNase
S337	S. aureus NCTC8325	S337		
SAOUHSC_00819	S. aureus NCTC8325	SAOUHSC_00819	3919381	CSD
S338	S. aureus NCTC8325	S338		
S339	S. aureus NCTC8325	S339		
SAOUHSC_00820	S. aureus NCTC8325	SAOUHSC_00820	3919382	
SAOUHSC_00821	S. aureus NCTC8325	SAOUHSC_00821	3919383	
SAOUHSC_00822	S. aureus NCTC8325	SAOUHSC_00822	3919384	Peptidase_C92
S340	S. aureus NCTC8325	S340		
SAOUHSC_00823	S. aureus NCTC8325	SAOUHSC_00823	3919385	BRI3BP
SAOUHSC_00824	S. aureus NCTC8325	SAOUHSC_00824	3919386	PhoLip_ATPase_C
S341	S. aureus NCTC8325	S341		
S342	S. aureus NCTC8325	S342		
SAOUHSC_00825	S. aureus NCTC8325	SAOUHSC_00825	3919387	YozE_SAM_like
SAOUHSC_00826	S. aureus NCTC8325	SAOUHSC_00826	3919388	
S343	S. aureus NCTC8325	S343		
S344	S. aureus NCTC8325	S344		
SAOUHSC_00827	S. aureus NCTC8325	SAOUHSC_00827	3919389	His_Phos_1
SAOUHSC_00828	S. aureus NCTC8325	SAOUHSC_00828	3918941	LysE
SAOUHSC_00830	S. aureus NCTC8325	SAOUHSC_00830	3918942	Acetyltransf_4
S345	S. aureus NCTC8325	S345		
SAOUHSC_00831	S. aureus NCTC8325	SAOUHSC_00831	3918943	OsmC
SAOUHSC_00832	S. aureus NCTC8325	SAOUHSC_00832	3918944	DHquinase_I
SAOUHSC_00833	S. aureus NCTC8325	SAOUHSC_00833	3918945	Nitroreductase
SAOUHSC_00834	S. aureus NCTC8325	SAOUHSC_00834	3918946	Thioredoxin
SAOUHSC_00835	S. aureus NCTC8325	SAOUHSC_00835	3918947	ArsC
S346	S. aureus NCTC8325	S346		
SAOUHSC_00836	S. aureus NCTC8325	SAOUHSC_00836	3918948	GCV_H
SAOUHSC_00837	S. aureus NCTC8325	SAOUHSC_00837	3918949	
SAOUHSC_00838	S. aureus NCTC8325	SAOUHSC_00838	3918950	DUF1963
S347	S. aureus NCTC8325	S347		
SAOUHSC_00839	S. aureus NCTC8325	SAOUHSC_00839	3918951	
S348	S. aureus NCTC8325	S348		
SAOUHSC_00840	S. aureus NCTC8325	SAOUHSC_00840	3918952	Toprim
SAOUHSC_00841	S. aureus NCTC8325	SAOUHSC_00841	3918953	Thioredoxin
S349	S. aureus NCTC8325	S349		
SAOUHSC_00842	S. aureus NCTC8325	SAOUHSC_00842	3918954	ABC_tran
SAOUHSC_00843	S. aureus NCTC8325	SAOUHSC_00843	3918955	BPD_transp_1
SAOUHSC_00844	S. aureus NCTC8325	SAOUHSC_00844	3918956	Lipoprotein_9
S350	S. aureus NCTC8325	S350		
SAOUHSC_00845	S. aureus NCTC8325	SAOUHSC_00845	3918957	CsbD
S351	S. aureus NCTC8325	S351		
SAOUHSC_00846	S. aureus NCTC8325	SAOUHSC_00846	3918958	DUF368
S352	S. aureus NCTC8325	S352		
S353	S. aureus NCTC8325	S353		
SAOUHSC_00847	S. aureus NCTC8325	SAOUHSC_00847	3918959	ABC_tran
S354	S. aureus NCTC8325	S354		
SAOUHSC_00848	S. aureus NCTC8325	SAOUHSC_00848	3918979	UPF0051
S355	S. aureus NCTC8325	S355		
SAOUHSC_00849	S. aureus NCTC8325	SAOUHSC_00849	3918980	Aminotran_5
SAOUHSC_00850	S. aureus NCTC8325	SAOUHSC_00850	3918981	NifU_N
S356	S. aureus NCTC8325	S356		
SAOUHSC_00851	S. aureus NCTC8325	SAOUHSC_00851	3918982	UPF0051
S357	S. aureus NCTC8325	S357		
SAOUHSC_00852	S. aureus NCTC8325	SAOUHSC_00852	3918983	
SAOUHSC_00853	S. aureus NCTC8325	SAOUHSC_00853	3918984	PIRT
SAOUHSC_00854	S. aureus NCTC8325	SAOUHSC_00854	3918985	DUF21
SAOUHSC_00855	S. aureus NCTC8325	SAOUHSC_00855	3918986	NMO
SAOUHSC_00857	S. aureus NCTC8325	SAOUHSC_00857	3918987	
SAOUHSC_00858	S. aureus NCTC8325	SAOUHSC_00858	3918988	DUF72
SAOUHSC_00859	S. aureus NCTC8325	SAOUHSC_00859	3918989	TauE
SAOUHSC_00860	S. aureus NCTC8325	SAOUHSC_00860	3918990	Metallophos
SAOUHSC_00861	S. aureus NCTC8325	SAOUHSC_00861	3918991	Radical_SAM
S358	S. aureus NCTC8325	S358		
SAOUHSC_00862	S. aureus NCTC8325	SAOUHSC_00862	3918992	DUF1027
SAOUHSC_00863	S. aureus NCTC8325	SAOUHSC_00863	3918993	DUF3055
SAOUHSC_00864	S. aureus NCTC8325	SAOUHSC_00864	3918994	DUF86
SAOUHSC_00865	S. aureus NCTC8325	SAOUHSC_00865	3918995	Hydrolase_6
S359	S. aureus NCTC8325	S359		
SAOUHSC_00866	S. aureus NCTC8325	SAOUHSC_00866	3918996	2-Hacid_dh_C
S360	S. aureus NCTC8325	S360		
SAOUHSC_00867	S. aureus NCTC8325	SAOUHSC_00867	3918997	
SAOUHSC_00868	S. aureus NCTC8325	SAOUHSC_00868	3918998	DUF3687
SAOUHSC_00869	S. aureus NCTC8325	SAOUHSC_00869	3919216	AMP-binding
SAOUHSC_00870	S. aureus NCTC8325	SAOUHSC_00870	3919217	MBOAT
SAOUHSC_00871	S. aureus NCTC8325	SAOUHSC_00871	3919218	PP-binding
SAOUHSC_00872	S. aureus NCTC8325	SAOUHSC_00872	3919219	DltD
SAOUHSC_00873	S. aureus NCTC8325	SAOUHSC_00873	3919220	NifU
SAOUHSC_00874	S. aureus NCTC8325	SAOUHSC_00874	3919221	DUF1462
SAOUHSC_00875	S. aureus NCTC8325	SAOUHSC_00875	3919222	Pyr_redox_2
S361	S. aureus NCTC8325	S361		
SAOUHSC_00876	S. aureus NCTC8325	SAOUHSC_00876	3919223	DUF1450
SAOUHSC_00877	S. aureus NCTC8325	SAOUHSC_00877	3919224	Fe-S_biosyn
S362	S. aureus NCTC8325	S362		
S363	S. aureus NCTC8325	S363		
SAOUHSC_00878	S. aureus NCTC8325	SAOUHSC_00878	3919225	Pyr_redox_2
SAOUHSC_00879	S. aureus NCTC8325	SAOUHSC_00879	3919226	Peptidase_M17
SAOUHSC_00880	S. aureus NCTC8325	SAOUHSC_00880	3919227	Na_H_antiporter
SAOUHSC_00881	S. aureus NCTC8325	SAOUHSC_00881	3919228	4HBT
SAOUHSC_00882	S. aureus NCTC8325	SAOUHSC_00882	3919229	NAD_binding_9
SAOUHSC_00883	S. aureus NCTC8325	SAOUHSC_00883	3919230	PhaG_MnhG_YufB
SAOUHSC_00884	S. aureus NCTC8325	SAOUHSC_00884	3919231	MrpF_PhaF
SAOUHSC_00885	S. aureus NCTC8325	SAOUHSC_00885	3919232	MNHE
SAOUHSC_00886	S. aureus NCTC8325	SAOUHSC_00886	3919233	Proton_antipo_M
SAOUHSC_00887	S. aureus NCTC8325	SAOUHSC_00887	3919234	Oxidored_q2
SAOUHSC_00888	S. aureus NCTC8325	SAOUHSC_00888	3921734	MnhB
SAOUHSC_00889	S. aureus NCTC8325	SAOUHSC_00889	3921735	Proton_antipo_M
S364	S. aureus NCTC8325	S364		
SAOUHSC_00890	S. aureus NCTC8325	SAOUHSC_00890	3921736	KapB
SAOUHSC_00891	S. aureus NCTC8325	SAOUHSC_00891	3921737	Pro_isomerase
S365	S. aureus NCTC8325	S365		
S366	S. aureus NCTC8325	S366		
SAOUHSC_00892	S. aureus NCTC8325	SAOUHSC_00892	3921738	S1
S367	S. aureus NCTC8325	S367		
SAOUHSC_00893	S. aureus NCTC8325	SAOUHSC_00893	3921739	Oxidored_FMN
S368	S. aureus NCTC8325	S368		
SAOUHSC_00894	S. aureus NCTC8325	rocD	3921740	Aminotran_3
S369	S. aureus NCTC8325	S369		
SAOUHSC_00895	S. aureus NCTC8325	SAOUHSC_00895	3921741	ELFV_dehydrog
SAOUHSC_00896	S. aureus NCTC8325	SAOUHSC_00896	3921742	
SAOUHSC_00897	S. aureus NCTC8325	SAOUHSC_00897	3921743	GDPD
SAOUHSC_00898	S. aureus NCTC8325	SAOUHSC_00898	3921744	Lyase_1
SAOUHSC_00899	S. aureus NCTC8325	SAOUHSC_00899	3921745	Arginosuc_synth
SAOUHSC_00900	S. aureus NCTC8325	pgi	3921746	PGI
S370	S. aureus NCTC8325	S370		
S371	S. aureus NCTC8325	S371		
SAOUHSC_00901	S. aureus NCTC8325	SAOUHSC_00901	3921747	SNARE_assoc
SAOUHSC_00902	S. aureus NCTC8325	SAOUHSC_00902	3921748	Peptidase_S24
S372	S. aureus NCTC8325	S372		
SAOUHSC_00903	S. aureus NCTC8325	SAOUHSC_00903	3921749	Peptidase_S24
SAOUHSC_00904	S. aureus NCTC8325	SAOUHSC_00904	3921750	PDDEXK_1
SAOUHSC_00905	S. aureus NCTC8325	SAOUHSC_00905	3921751	UvrD-helicase
S373	S. aureus NCTC8325	S373		
SAOUHSC_00906	S. aureus NCTC8325	SAOUHSC_00906	3921752	FAA_hydrolase
S374	S. aureus NCTC8325	S374		
SAOUHSC_00907	S. aureus NCTC8325	SAOUHSC_00907	3921753	DUF1516
SAOUHSC_00908	S. aureus NCTC8325	SAOUHSC_00908	3920795	Pyr_redox_2
SAOUHSC_00909	S. aureus NCTC8325	SAOUHSC_00909	3920796	Hydrolase_3
S375	S. aureus NCTC8325	S375		
S376	S. aureus NCTC8325	S376		
SAOUHSC_00910	S. aureus NCTC8325	SAOUHSC_00910	3920797	FeS_assembly_P
S377	S. aureus NCTC8325	S377		
SAOUHSC_00911	S. aureus NCTC8325	SAOUHSC_00911	3920798	Acyl_transf_3
S378	S. aureus NCTC8325	S378		
S379	S. aureus NCTC8325	S379		
SAOUHSC_00912	S. aureus NCTC8325	SAOUHSC_00912	3920799	AAA_2
S380	S. aureus NCTC8325	S380		
SAOUHSC_00913	S. aureus NCTC8325	SAOUHSC_00913	3920800	LysR_substrate
SAOUHSC_00914	S. aureus NCTC8325	SAOUHSC_00914	3920801	HMGL-like
SAOUHSC_00915	S. aureus NCTC8325	SAOUHSC_00915	3920802	Sua5_yciO_yrdC
SAOUHSC_00916	S. aureus NCTC8325	SAOUHSC_00916	3920803	MFS_1
SAOUHSC_00917	S. aureus NCTC8325	SAOUHSC_00917	3920804	PBP
S381	S. aureus NCTC8325	S381		
SAOUHSC_00918	S. aureus NCTC8325	SAOUHSC_00918	3920805	MAP
SAOUHSC_00919	S. aureus NCTC8325	SAOUHSC_00919	3920806	DUF2929
SAOUHSC_00920	S. aureus NCTC8325	SAOUHSC_00920	3920807	ACP_syn_III_C
SAOUHSC_00921	S. aureus NCTC8325	SAOUHSC_00921	3920808	ketoacyl-synt
SAOUHSC_00922	S. aureus NCTC8325	SAOUHSC_00922	3920809	DUF3899
S382	S. aureus NCTC8325	S382		
SAOUHSC_00923	S. aureus NCTC8325	SAOUHSC_00923	3920810	BPD_transp_1
SAOUHSC_00924	S. aureus NCTC8325	SAOUHSC_00924	3920811	BPD_transp_1
SAOUHSC_00925	S. aureus NCTC8325	SAOUHSC_00925	3920812	ABC_tran
SAOUHSC_00926	S. aureus NCTC8325	SAOUHSC_00926	3920813	ABC_tran
